default, 0.0,2.0,4.0,6.0,8.0,10.0
0.0, -0.50,-0.50,-0.50,-0.50,-0.50,-0.50
0.1, -0.24,-0.22,-0.27,-0.34,-0.40,-0.45
0.2, -0.13,-0.05,-0.10,-0.17,-0.24,-0.29
0.3, -0.04,0.10,0.04,-0.02,-0.10,-0.14
0.4, 0.05,0.23,0.18,0.11,0.03,-0.01
0.5, 0.14,0.35,0.31,0.23,0.16,0.12
0.6, 0.21,0.47,0.43,0.35,0.27,0.24
0.7, 0.29,0.59,0.54,0.47,0.39,0.36
0.8, 0.36,0.70,0.66,0.58,0.49,0.47
0.9, 0.43,0.81,0.76,0.69,0.60,0.58
1.0, 0.50,0.91,0.87,0.79,0.70,0.68
